Energy,counts/sec,Transmission,,
200.8,2054.9582,10.122035,,
200.7,1865.5166,10.121617,,
200.6,2106.911,10.121198,,
200.5,1974.0805,10.12078,,
200.4,1851.5463,10.120361,,
200.3,1753.9379,10.119942,,
200.2,1974.2233,10.119524,,
200.1,1976.7149,10.119105,,
200,2020.8934,10.118687,,
199.9,1793.3815,10.118268,,
199.8,1876.538,10.11785,,
199.7,2038.3822,10.117431,,
199.6,1833.4583,10.117012,,
199.5,1848.5944,10.116594,,
199.4,1746.6777,10.116175,,
199.3,1781.803,10.115757,,
199.2,1895.9105,10.115338,,
199.1,1929.3743,10.11492,,
199,1954.7026,10.114501,,
198.9,1741.5227,10.114083,,
198.8,1816.7452,10.113664,,
198.7,1797.6965,10.113246,,
198.6,1871.0663,10.112827,,
198.5,2078.4719,10.112409,,
198.4,2014.1823,10.11199,,
198.3,1930.2882,10.111572,,
198.2,1897.4531,10.111153,,
198.1,1874.7915,10.110735,,
198,1958.9977,10.110316,,
197.9,1852.938,10.109898,,
197.8,1853.9407,10.10948,,
197.7,1837.7593,10.109061,,
197.6,1695.6327,10.108643,,
197.5,1888.52,10.108224,,
197.4,1924.28,10.107806,,
197.3,1808.6659,10.107387,,
197.2,1852.4662,10.106969,,
197.1,1879.0953,10.106551,,
197,1777.5955,10.106132,,
196.9,1862.7288,10.105714,,
196.8,1860.134,10.105295,,
196.7,1936.3026,10.104877,,
196.6,1920.7219,10.104459,,
196.5,1886.296,10.10404,,
196.4,1861.4443,10.103622,,
196.3,1761.9694,10.103204,,
196.2,1983.3811,10.102785,,
196.1,1885.5419,10.102367,,
196,1907.9471,10.101949,,
195.9,1894.9461,10.10153,,
195.8,1962.6862,10.101112,,
195.7,1957.5829,10.100694,,
195.6,1912.7403,10.100275,,
195.5,1849.991,10.099857,,
195.4,1791.5439,10.099439,,
195.3,1829.2932,10.099021,,
195.2,1853.3695,10.098602,,
195.1,1833.7074,10.098184,,
195,1791.0809,10.097766,,
