B.E.,Counts/sec,B.E. 2,Counts/s,B.E 3,Counts/sec,B.E. 4,Counts/sec,B.E. 5,Counts/sec
210.08,20511.93,209.818,16861.07,209.238,5710.8,209.973,19344.2,210.043,20552.8
209.98,19627.93,209.718,14549.47,209.138,4964.467,209.873,17610.67,209.943,18961
209.88,17963.4,209.618,11891.2,209.038,4544.927,209.773,15556.6,209.843,17018.53
209.78,15501.07,209.518,10339.73,208.938,4356.433,209.673,13116.13,209.743,14746.8
209.68,13047.4,209.418,7949.067,208.838,4270.987,209.573,11311.47,209.643,12450.67
209.58,10815.2,209.318,6961.333,208.738,4582.673,209.473,9114.333,209.543,10118
209.48,8822.467,209.218,6074.907,208.638,4704.96,209.373,7394.333,209.443,8253.867
209.38,7742.533,209.118,5310.827,208.538,5050.627,209.273,6358.5,209.343,6788.467
209.28,6355.947,209.018,4992.573,208.438,5762.58,209.173,5483.673,209.243,5802.167
209.18,5300.733,208.918,4708.287,208.338,6697.067,209.073,5233.847,209.143,5488.313
209.08,5078.387,208.818,4581.047,208.238,8325.267,208.973,4892.7,209.043,4904
208.98,5084.78,208.718,4965,208.138,10224,208.873,4591.347,208.943,4852.913
208.88,4719.64,208.618,5380.68,208.038,12950,208.773,4842.647,208.843,4787.493
208.78,4903.273,208.518,5490.193,207.938,15766.13,208.673,4923.48,208.743,4706.493
208.68,5029.407,208.418,6562.42,207.838,19320.33,208.573,5383.313,208.643,4988.973
208.58,5558.187,208.318,7505.333,207.738,21137.8,208.473,6147.12,208.543,5757.587
208.48,6446.7,208.218,9267.733,207.638,24639,208.373,7295.8,208.443,6466.213
208.38,7766.867,208.118,12127.93,207.538,26314.4,208.273,8631.2,208.343,7967.333
208.28,9521.133,208.018,14439.2,207.438,27022.2,208.173,11015.67,208.243,9724.467
208.18,11164.13,207.918,17847.27,207.338,27359.07,208.073,13716.27,208.143,12416.4
208.08,14145.6,207.818,21004.27,207.238,25824.07,207.973,16431.2,208.043,15025.67
207.98,17434.67,207.718,24324.07,207.138,23477.93,207.873,20176.07,207.943,18414.67
207.88,21085.8,207.618,27628,207.038,20075.2,207.773,23798.6,207.843,21580.73
207.78,24458.07,207.518,28898.33,206.938,16439.2,207.673,26434.47,207.743,24766.13
207.68,27455.4,207.418,29732.73,206.838,13709.8,207.573,28675.4,207.643,27761.33
207.58,29160.47,207.318,29223.53,206.738,10888.13,207.473,30349.07,207.543,29698.13
207.48,30066.33,207.218,27699.27,206.638,8806.733,207.373,30195.2,207.443,29526.4
207.38,30101.07,207.118,25122.13,206.538,7063.667,207.273,28738.67,207.343,29464.4
207.28,28417.73,207.018,21486.07,206.438,6080.28,207.173,26398.47,207.243,27289.47
207.18,25757.2,206.918,17539.2,206.338,5280.16,207.073,23232.93,207.143,24707.8
207.08,22953,206.818,14279.47,206.238,4222.14,206.973,19379.07,207.043,21303
206.98,19024.4,206.718,11233.07,206.138,4179.613,206.873,15767.47,206.943,18221
